State,Direction,2 Wheelers,3 Wheelers,4 Wheelers
Jammu Kashmir,North,2481,130,0
Arunachal Pradesh,North,1,1,0
Himachal Pradesh,North,879,172,0
The Dadra and Nagar Haveli and Daman and Diu,North,62,24,0
Ladakh,North,20,0,0
Punjab,North,8376,261,3
Haryana,North,12656,213,272
Chandigarh,North,622,76,0
Delhi,North,30323,9378,2239
Uttarakhand,North,4289,2789,21
Rajasthan,West,42421,1857,28
Gujarat,West,45360,1051,66
Maharashtra,West,91971,2607,483
Goa,West,3353,33,2
Uttar Pradesh,Central,21844,11283,27
Madhya Pradesh,Central,17415,3616,15
Bihar,East,9112,5253,2
Jharkhand,East,5334,923,53
Chhattisgarh,East,11527,2738,14
Odisha,East,18869,815,31
West Bengal,East,6346,1125,71
Andaman and Nicobar Islands,East,2,0,2
Telangana,South,23296,1560,225
Karnataka,South,83844,4310,891
Andhra Pradesh,South,22550,2230,2
Puducherry,South,1013,10,5
Kerala,South,22419,2489,11
Tamil Nadu,South,64996,1826,14
Lakshadweep,South,4,2,0
Meghalaya,North East,22,10,0
Assam,North East,1545,1204,1
Nagaland,North East,4,0,0
Manipur,North East,54,204,0
Tripura,North East,121,1734,0
Mizoram,North East,9,0,0
Sikkim,North East,5,1,0
